District,Town,County,Member,Party,Email,Phone,Committees
28,North Penobscot,Penobscot County,Irene A. Gifford,R,Irene.Gifford@legislature.maine.gov,207-287-1400,Engrossed Bills (Member); Marine Resources (Member)
10,North Washington (Part),Washington County,William R. Tuell,R,William.tuell@legislature.maine.gov,207-287-1400,State and Local Government (Member)
8,North Washington (Part),Washington County,Tracy L. Quint,R,Tracy.Quint@legislature.maine.gov,207-287-1400,Taxation (Member)
11,North Washington (Part),Washington County,Tiffany Strout,R,Tiffany.Strout@legislature.maine.gov,207-287-1400,Marine Resources (Member)
18,North Washington (Part),Washington County,Mathew David McIntyre,R,Mathew.McIntyre@legislature.maine.gov,207-287-1400,"Engrossed Bills (Ranking Member); Criminal Justice and Public Safety (Member); Energy, Utilities and Technology (Member)"
105,North Yarmouth,Cumberland County,Anne P. Graham,D,Anne.Graham@legislature.maine.gov,207-287-1400,Health and Human Services (Member); Veterans and Legal Affairs (Member)
30,Northeast Piscataquis,Piscataquis County,James Lee White,R,James.White@legislature.maine.gov,207-287-1400,Transportation (Member)
72,Northeast Somerset,Somerset County,Elizabeth M. Caruso,R,Elizabeth.Caruso@legislature.maine.gov,207-287-1400,Judiciary (Member); Leaves of Absence (Member)
10,Northfield,Washington County,William R. Tuell,R,William.tuell@legislature.maine.gov,207-287-1400,State and Local Government (Member)
39,Northport,Waldo County,Janice S. Dodge,D,Jan.Dodge@legislature.maine.gov,207-287-1400,Education and Cultural Affairs (Member)
1,Northwest Aroostook,Aroostook County,Lucien J.B. Daigle,R,Lucien.Daigle@legislature.maine.gov,207-287-1400,Health and Human Services (Member)
18,Northwest Hancock,Hancock County,Mathew David McIntyre,R,Mathew.McIntyre@legislature.maine.gov,207-287-1400,"Engrossed Bills (Ranking Member); Criminal Justice and Public Safety (Member); Energy, Utilities and Technology (Member)"
30,Northwest Piscataquis,Piscataquis County,James Lee White,R,James.White@legislature.maine.gov,207-287-1400,Transportation (Member)
73,Northwest Somerset,Somerset County,Michael Soboleski,R,Michael.Soboleski@legislature.maine.gov,207-287-1400,Environment and Natural Resources (Member); Labor (Member)
81,Norway,Oxford County,Peter Conley Wood,R,Peter.Wood@legislature.maine.gov,207-287-1400,Marine Resources (Member)
7,Oakfield,Aroostook County,Gregory Lewis Swallow,R,Gregory.Swallow@legislature.maine.gov,207-287-1400,Taxation (Member)
66,Oakland,Kennebec County,Robert W. Nutting,R,Robert.Nutting@legislature.maine.gov,207-287-1400,Criminal Justice and Public Safety (Ranking Member); Ethics (Member)
146,Ogunquit,York County,Walter Gerard Runte Jr.,D,Gerry.Runte@legislature.maine.gov,207-287-1400,"Energy, Utilities and Technology (Member); Leaves of Absence (Member)"
131,Old Orchard Beach,York County,Lori K. Gramlich,D,Lori.Gramlich@legislature.maine.gov,207-287-1400,Engrossed Bills (Member); State and Local Government (Member)
26,Old Town,Penobscot County,James F. Dill,D,James.Dill@legislature.maine.gov,207-287-1400,"Agriculture, Conservation and Forestry (Member); Elections (Member); Inland Fisheries and Wildlife (Member)"
8,Orient,Aroostook County,Tracy L. Quint,R,Tracy.Quint@legislature.maine.gov,207-287-1400,Taxation (Member)
17,Orland,Hancock County,Steven M. Bishop,R,Steven.Bishop@legislature.maine.gov,207-287-1400,Transportation (Member)
31,Orneville Township,Piscataquis County,Chad R. Perkins,R,Chad.Perkins@legislature.maine.gov,207-287-1400,Government Oversight Committee (Ranking Member); Criminal Justice and Public Safety (Member)
25,Orono (Part),Penobscot County,Laurie Osher,D,Laurie.Osher@legislature.maine.gov,207-287-1400,Environment and Natural Resources (Member)
24,Orono (Part),Penobscot County,Sean Faircloth,D,Sean.Faircloth@legislature.maine.gov,207-287-1400,Veterans and Legal Affairs (Member)
19,Orrington,Penobscot County,Richard H. Campbell,R,Richard.Campbell@legislature.maine.gov,207-287-1400,Environment and Natural Resources (Ranking Member); Rules and Business of the House (Ranking Member); Ethics (Member)
18,Osborn,Hancock County,Mathew David McIntyre,R,Mathew.McIntyre@legislature.maine.gov,207-287-1400,"Engrossed Bills (Ranking Member); Criminal Justice and Public Safety (Member); Energy, Utilities and Technology (Member)"
18,Otis,Hancock County,Mathew David McIntyre,R,Mathew.McIntyre@legislature.maine.gov,207-287-1400,"Engrossed Bills (Ranking Member); Criminal Justice and Public Safety (Member); Energy, Utilities and Technology (Member)"
80,Otisfield,Oxford County,Caldwell Jackson,R,Caldwell.Jackson@legislature.maine.gov,207-287-1400,"Agriculture, Conservation and Forestry (Member)"
43,Owls Head (Part),Knox County,Ann Higgins Matlack,D,Ann.Matlack@legislature.maine.gov,207-287-1400,Appropriations and Financial Affairs (Member); Taxation (Member)
42,Owls Head (Part),Knox County,Valli D. Geiger,D,Valli.Geiger@legislature.maine.gov,207-287-1400,"Energy, Utilities and Technology (Member); Labor (Member)"
6,Oxbow North Township,Aroostook County,Donald J. Ardell,R,Donald.Ardell@legislature.maine.gov,207-287-1400,Criminal Justice and Public Safety (Member); Engrossed Bills (Member)
80,Oxford,Oxford County,Caldwell Jackson,R,Caldwell.Jackson@legislature.maine.gov,207-287-1400,"Agriculture, Conservation and Forestry (Member)"
62,Palermo,Waldo County,Katrina J. Smith,R,Katrina.Smith@legislature.maine.gov,207-287-1400,Ethics (Member); Joint Select Committee on Joint Rules (Member); Rules and Business of the House (Member)
69,Palmyra,Somerset County,Dean A. Cray,R,dean.cray@legislature.maine.gov,207-287-1400,"Agriculture, Conservation and Forestry (Member); Bills in the Second Reading (Member)"
79,Paris,Oxford County,Michael J. Lance,R,Michael.Lance@legislature.maine.gov,207-287-1400,Inland Fisheries and Wildlife (Member)
30,Parkman,Piscataquis County,James Lee White,R,James.White@legislature.maine.gov,207-287-1400,Transportation (Member)
139,Parsonsfield,York County,David C. Woodsome,R,David.Woodsome@legislature.maine.gov,207-287-1400,Leaves of Absence (Ranking Member); Environment and Natural Resources (Member); Inland Fisheries and Wildlife (Member)
18,Passadumkeag,Penobscot County,Mathew David McIntyre,R,Mathew.McIntyre@legislature.maine.gov,207-287-1400,"Engrossed Bills (Ranking Member); Criminal Justice and Public Safety (Member); Energy, Utilities and Technology (Member)"
9,Passamaquoddy Indian Township,Washington County,Arthur Kevin Mingo,R,Arthur.Mingo@legislature.maine.gov,207-287-1400,Housing and Economic Development (Member)
9,Passamaquoddy Pleasant Point,Washington County,Arthur Kevin Mingo,R,Arthur.Mingo@legislature.maine.gov,207-287-1400,Housing and Economic Development (Member)
119,Peaks Island,Cumberland County,Charles A. Skold,D,Charles.Skold@legislature.maine.gov,207-287-1400,Labor (Member)
10,Pembroke,Washington County,William R. Tuell,R,William.tuell@legislature.maine.gov,207-287-1400,State and Local Government (Member)
17,Penobscot,Hancock County,Steven M. Bishop,R,Steven.Bishop@legislature.maine.gov,207-287-1400,Transportation (Member)
26,Penobscot Indian Island,Penobscot County,James F. Dill,D,James.Dill@legislature.maine.gov,207-287-1400,"Agriculture, Conservation and Forestry (Member); Elections (Member); Inland Fisheries and Wildlife (Member)"
26,Penobscot Nation Voting District,Penobscot County,James F. Dill,D,James.Dill@legislature.maine.gov,207-287-1400,"Agriculture, Conservation and Forestry (Member); Elections (Member); Inland Fisheries and Wildlife (Member)"
2,Perham,Aroostook County,Roger Clarence Albert,R,Roger.Albert@legislature.maine.gov,207-287-1400,Transportation (Member)
52,Perkins Island Township,Sagadahoc County,Sally Jeane Cluchey,D,Sally.Cluchey@legislature.maine.gov,207-287-1400,"Health Coverage, Insurance and Financial Services (Member); Inland Fisheries and Wildlife (Member)"
9,Perry,Washington County,Arthur Kevin Mingo,R,Arthur.Mingo@legislature.maine.gov,207-287-1400,Housing and Economic Development (Member)
77,Peru,Oxford County,Tammy L. Schmersal-Burgess,R,Tammy.Schmersal-Burgess@legislature.maine.gov,207-287-1400,Environment and Natural Resources (Member)
73,Phillips,Franklin County,Michael Soboleski,R,Michael.Soboleski@legislature.maine.gov,207-287-1400,Environment and Natural Resources (Member); Labor (Member)
49,Phippsburg,Sagadahoc County,Allison Hepler,D,Allison.Hepler@legislature.maine.gov,207-287-1400,"Marine Resources (Chair); Agriculture, Conservation and Forestry (Member)"
68,Pittsfield,Somerset County,Amanda N. Collamore,R,Amanda.Collamore@legislature.maine.gov,207-287-1400,Ethics (Ranking Member); Housing and Economic Development (Ranking Member)
53,Pittston,Kennebec County,Michael H. Lemelin,R,Michael.Lemelin@legislature.maine.gov,207-287-1400,Health and Human Services (Ranking Member); Government Oversight Committee (Member)
72,Pleasant Ridge,Somerset County,Elizabeth M. Caruso,R,Elizabeth.Caruso@legislature.maine.gov,207-287-1400,Judiciary (Member); Leaves of Absence (Member)
33,Plymouth,Penobscot County,Kenneth Wade Fredette,R,Kenneth.Fredette@legislature.maine.gov,207-287-1400,Appropriations and Financial Affairs (Member)
86,Poland (Part),Androscoggin County,Rolf A. Olsen Jr.,R,Rolf.Olsen@legislature.maine.gov,207-287-1400,"Health Coverage, Insurance and Financial Services (Member)"
87,Poland (Part),Androscoggin County,David W. Boyer Jr.,R,David.Boyer@legislature.maine.gov,207-287-1400,Veterans and Legal Affairs (Ranking Member); Elections (Member)
1,Portage Lake,Aroostook County,Lucien J.B. Daigle,R,Lucien.Daigle@legislature.maine.gov,207-287-1400,Health and Human Services (Member)
82,Porter,Oxford County,Nathan J. Wadsworth,R,Nathan.Wadsworth@legislature.maine.gov,207-287-1400,"Bills in the Second Reading (Member); Energy, Utilities and Technology (Member)"
117,Portland (Part),Cumberland County,Matt Moonen,D,Matt.Moonen@legislature.maine.gov,207-287-1400,Joint Select Committee on Joint Rules (Chair); Rules and Business of the House (Member)
112,Portland (Part),Cumberland County,W. Edward Crockett,U,Ed.Crockett@legislature.maine.gov,207-287-1400,Education and Cultural Affairs (Member); Taxation (Member)
115,Portland (Part),Cumberland County,Michael F. Brennan,D,Michael.Brennan@legislature.maine.gov,207-287-1400,Appropriations and Financial Affairs (Member); Education and Cultural Affairs (Member)
113,Portland (Part),Cumberland County,Grayson B. Lookner,D,Grayson.Lookner@legislature.maine.gov,207-287-1400,Criminal Justice and Public Safety (Member); Housing and Economic Development (Member)
116,Portland (Part),Cumberland County,Samuel Lewis Zager,D,Sam.Zager@legislature.maine.gov,207-287-1400,Health and Human Services (Member)
119,Portland (Part),Cumberland County,Charles A. Skold,D,Charles.Skold@legislature.maine.gov,207-287-1400,Labor (Member)
114,Portland (Part),Cumberland County,Dylan R. Pugh,D,Dylan.Pugh@legislature.maine.gov,207-287-1400,Judiciary (Member)
118,Portland (Part),Cumberland County,Yusuf M. Yusuf,D,Yusuf.Yusuf@legislature.maine.gov,207-287-1400,Housing and Economic Development (Member)
98,Pownal,Cumberland County,Kilton M. Webb,D,Kilton.Webb@legislature.maine.gov,207-287-1400,"Energy, Utilities and Technology (Member)"
8,Prentiss Township,Penobscot County,Tracy L. Quint,R,Tracy.Quint@legislature.maine.gov,207-287-1400,Taxation (Member)
5,Presque Isle,Aroostook County,Joseph F. Underwood,R,Joseph.Underwood@legislature.maine.gov,207-287-1400,State and Local Government (Member)
10,Princeton,Washington County,William R. Tuell,R,William.tuell@legislature.maine.gov,207-287-1400,State and Local Government (Member)
37,Prospect,Waldo County,Reagan L. Paul,R,Reagan.Paul@legislature.maine.gov,207-287-1400,"Elections (Member); Energy, Utilities and Technology (Member)"
53,Randolph,Kennebec County,Michael H. Lemelin,R,Michael.Lemelin@legislature.maine.gov,207-287-1400,Health and Human Services (Ranking Member); Government Oversight Committee (Member)
73,Rangeley,Franklin County,Michael Soboleski,R,Michael.Soboleski@legislature.maine.gov,207-287-1400,Environment and Natural Resources (Member); Labor (Member)
73,Rangeley,Franklin County,Michael Soboleski,R,Michael.Soboleski@legislature.maine.gov,207-287-1400,Environment and Natural Resources (Member); Labor (Member)
86,Raymond,Cumberland County,Rolf A. Olsen Jr.,R,Rolf.Olsen@legislature.maine.gov,207-287-1400,"Health Coverage, Insurance and Financial Services (Member)"
57,Readfield,Kennebec County,Tavis Rock Hasenfus,D,Tavis.Hasenfus@legislature.maine.gov,207-287-1400,Criminal Justice and Public Safety (Chair); Ethics (Member)
8,Reed,Aroostook County,Tracy L. Quint,R,Tracy.Quint@legislature.maine.gov,207-287-1400,Taxation (Member)
52,Richmond,Sagadahoc County,Sally Jeane Cluchey,D,Sally.Cluchey@legislature.maine.gov,207-287-1400,"Health Coverage, Insurance and Financial Services (Member); Inland Fisheries and Wildlife (Member)"
72,Ripley,Somerset County,Elizabeth M. Caruso,R,Elizabeth.Caruso@legislature.maine.gov,207-287-1400,Judiciary (Member); Leaves of Absence (Member)
9,Robbinston,Washington County,Arthur Kevin Mingo,R,Arthur.Mingo@legislature.maine.gov,207-287-1400,Housing and Economic Development (Member)
42,Rockland,Knox County,Valli D. Geiger,D,Valli.Geiger@legislature.maine.gov,207-287-1400,"Energy, Utilities and Technology (Member); Labor (Member)"
41,Rockport,Knox County,Victoria W. Doudera,D,Vicki.Doudera@legislature.maine.gov,207-287-1400,Environment and Natural Resources (Chair)
72,Rockwood Strip T1,Somerset County,Elizabeth M. Caruso,R,Elizabeth.Caruso@legislature.maine.gov,207-287-1400,Judiciary (Member); Leaves of Absence (Member)
58,Rome,Kennebec County,Sharon C. Frost,U,Sharon.Frost@legislature.maine.gov,207-287-1400,"Agriculture, Conservation and Forestry (Member); Veterans and Legal Affairs (Member)"
11,Roque Bluffs,Washington County,Tiffany Strout,R,Tiffany.Strout@legislature.maine.gov,207-287-1400,Marine Resources (Member)
78,Roxbury,Oxford County,Rachel A. Henderson,R,Rachel.Henderson@legislature.maine.gov,207-287-1400,Judiciary (Member)
78,Rumford,Oxford County,Rachel A. Henderson,R,Rachel.Henderson@legislature.maine.gov,207-287-1400,Judiciary (Member)
92,Sabattus,Androscoggin County,Stephen J. Wood,R,Stephen.Wood@legislature.maine.gov,207-287-1400,Engrossed Bills (Member); Inland Fisheries and Wildlife (Member)
126,Saco (Part),York County,Drew Gattine,D,Andrew.Gattine@legislature.maine.gov,207-287-1400,Appropriations and Financial Affairs (Chair)
130,Saco (Part),York County,Lynn Holland Copeland,D,Lynn.Copeland@legislature.maine.gov,207-287-1400,State and Local Government (Member)
129,Saco (Part),York County,Marshall F. Archer,D,Marshall.Archer@legislature.maine.gov,207-287-1400,Labor (Member)
18,Sakon Township,Washington County,Mathew David McIntyre,R,Mathew.McIntyre@legislature.maine.gov,207-287-1400,"Engrossed Bills (Ranking Member); Criminal Justice and Public Safety (Member); Energy, Utilities and Technology (Member)"
73,Salem Township,Franklin County,Michael Soboleski,R,Michael.Soboleski@legislature.maine.gov,207-287-1400,Environment and Natural Resources (Member); Labor (Member)
73,Sandy River,Franklin County,Michael Soboleski,R,Michael.Soboleski@legislature.maine.gov,207-287-1400,Environment and Natural Resources (Member); Labor (Member)
141,Sanford (Part),York County,Lucas John Lanigan,R,Lucas.Lanigan@legislature.maine.gov,207-287-1400,
143,Sanford (Part),York County,Ann Fredericks,R,Ann.Fredericks@legislature.maine.gov,207-287-1400,Health and Human Services (Member); Leaves of Absence (Member); Veterans and Legal Affairs (Member)
142,Sanford (Part),York County,Anne-Marie Mastraccio,D,Anne-Marie.Mastraccio@legislature.maine.gov,207-287-1400,"Government Oversight Committee (Chair); Health Coverage, Insurance and Financial Services (Member)"
30,Sangerville,Piscataquis County,James Lee White,R,James.White@legislature.maine.gov,207-287-1400,Transportation (Member)
125,Scarborough (Part),Cumberland County,Kelly Noonan Murphy,D,Kelly.Murphy@legislature.maine.gov,207-287-1400,Education and Cultural Affairs (Chair); Bills in the Second Reading (Member)
126,Scarborough (Part),Cumberland County,Drew Gattine,D,Andrew.Gattine@legislature.maine.gov,207-287-1400,Appropriations and Financial Affairs (Chair)
124,Scarborough (Part),Cumberland County,Sophia B. Warren,D,Sophia.Warren@legislature.maine.gov,207-287-1400,"Energy, Utilities and Technology (Member)"
40,Searsmont,Waldo County,D. Michael Ray,D,Michael.Ray@legislature.maine.gov,207-287-1400,Transportation (Member)
37,Searsport,Waldo County,Reagan L. Paul,R,Reagan.Paul@legislature.maine.gov,207-287-1400,"Elections (Member); Energy, Utilities and Technology (Member)"
84,Sebago,Cumberland County,Mark Walker,R,Mark.Walker@legislature.maine.gov,207-287-1400,Housing and Economic Development (Member)
30,Sebec,Piscataquis County,James Lee White,R,James.White@legislature.maine.gov,207-287-1400,Transportation (Member)
28,Seboeis,Penobscot County,Irene A. Gifford,R,Irene.Gifford@legislature.maine.gov,207-287-1400,Engrossed Bills (Member); Marine Resources (Member)
72,Seboomook Lake,Somerset County,Elizabeth M. Caruso,R,Elizabeth.Caruso@legislature.maine.gov,207-287-1400,Judiciary (Member); Leaves of Absence (Member)
16,Sedgwick,Hancock County,Nina Azella Milliken,D,Nina.Milliken@legislature.maine.gov,207-287-1400,Criminal Justice and Public Safety (Member); Elections (Member)
141,Shapleigh,York County,Lucas John Lanigan,R,Lucas.Lanigan@legislature.maine.gov,207-287-1400,
8,Sherman,Aroostook County,Tracy L. Quint,R,Tracy.Quint@legislature.maine.gov,207-287-1400,Taxation (Member)
30,Shirley,Piscataquis County,James Lee White,R,James.White@legislature.maine.gov,207-287-1400,Transportation (Member)
61,Sidney (Part),Kennebec County,Alicia Collins,R,Alicia.Collins@legislature.maine.gov,207-287-1400,Labor (Member); Leaves of Absence (Member)
66,Sidney (Part),Kennebec County,Robert W. Nutting,R,Robert.Nutting@legislature.maine.gov,207-287-1400,Criminal Justice and Public Safety (Ranking Member); Ethics (Member)
8,Silver Ridge Township,Aroostook County,Tracy L. Quint,R,Tracy.Quint@legislature.maine.gov,207-287-1400,Taxation (Member)
70,Skowhegan,Somerset County,Jennifer L. Poirier,R,Jennifer.Poirier@legislature.maine.gov,207-287-1400,Judiciary (Ranking Member)
66,Smithfield,Somerset County,Robert W. Nutting,R,Robert.Nutting@legislature.maine.gov,207-287-1400,Criminal Justice and Public Safety (Ranking Member); Ethics (Member)
6,Smyrna,Aroostook County,Donald J. Ardell,R,Donald.Ardell@legislature.maine.gov,207-287-1400,Criminal Justice and Public Safety (Member); Engrossed Bills (Member)
72,Solon,Somerset County,Elizabeth M. Caruso,R,Elizabeth.Caruso@legislature.maine.gov,207-287-1400,Judiciary (Member); Leaves of Absence (Member)
62,Somerville,Lincoln County,Katrina J. Smith,R,Katrina.Smith@legislature.maine.gov,207-287-1400,Ethics (Member); Joint Select Committee on Joint Rules (Member); Rules and Business of the House (Member)
12,Sorrento,Hancock County,Billy Bob Faulkingham,R,William.Faulkingham@legislature.maine.gov,207-287-1400,Joint Select Committee on Joint Rules (Ranking Member)
8,South Aroostook,Aroostook County,Tracy L. Quint,R,Tracy.Quint@legislature.maine.gov,207-287-1400,Taxation (Member)
149,South Berwick (Part),York County,Tiffany Roberts,D,Tiffany.Roberts@legislature.maine.gov,207-287-1400,Inland Fisheries and Wildlife (Chair)
150,South Berwick (Part),York County,Michele Meyer,D,Michele.Meyer@legislature.maine.gov,207-287-1400,Health and Human Services (Chair)
48,South Bristol,Lincoln County,Holly B. Stover,D,Holly.Stover@legislature.maine.gov,207-287-1400,Appropriations and Financial Affairs (Member); Ethics (Member); Government Oversight Committee (Member)
74,South Franklin,Franklin County,Randall C. Hall,R,Randall.Hall@legislature.maine.gov,207-287-1400,
81,South Oxford,Oxford County,Peter Conley Wood,R,Peter.Wood@legislature.maine.gov,207-287-1400,Marine Resources (Member)
122,South Portland (Part),Cumberland County,Matthew D. Beck,D,Matthew.Beck@legislature.maine.gov,207-287-1400,Labor (Member)
120,South Portland (Part),Cumberland County,Deqa Dhalac,D,Deqa.Dhalac@legislature.maine.gov,207-287-1400,Appropriations and Financial Affairs (Member)
121,South Portland (Part),Cumberland County,Christopher J. Kessler,D,Christopher.Kessler@legislature.maine.gov,207-287-1400,"Bills in the Second Reading (Member); Energy, Utilities and Technology (Member)"
43,South Thomaston,Knox County,Ann Higgins Matlack,D,Ann.Matlack@legislature.maine.gov,207-287-1400,Appropriations and Financial Affairs (Member); Taxation (Member)
31,Southeast Piscataquis,Piscataquis County,Chad R. Perkins,R,Chad.Perkins@legislature.maine.gov,207-287-1400,Government Oversight Committee (Ranking Member); Criminal Justice and Public Safety (Member)
48,Southport,Lincoln County,Holly B. Stover,D,Holly.Stover@legislature.maine.gov,207-287-1400,Appropriations and Financial Affairs (Member); Ethics (Member); Government Oversight Committee (Member)
15,Southwest Habor,Hancock County,Holly Rae Eaton,D,Holly.Eaton@legislature.maine.gov,207-287-1400,Marine Resources (Member); Transportation (Member)
8,Springfield,Penobscot County,Tracy L. Quint,R,Tracy.Quint@legislature.maine.gov,207-287-1400,Taxation (Member)
142,Springvale (Part),York County,Anne-Marie Mastraccio,D,Anne-Marie.Mastraccio@legislature.maine.gov,207-287-1400,"Government Oversight Committee (Chair); Health Coverage, Insurance and Financial Services (Member)"
141,Springvale (Part),York County,Lucas John Lanigan,R,Lucas.Lanigan@legislature.maine.gov,207-287-1400,
2,Square Lake,Aroostook County,Roger Clarence Albert,R,Roger.Albert@legislature.maine.gov,207-287-1400,Transportation (Member)
2,St. Agatha,Aroostook County,Roger Clarence Albert,R,Roger.Albert@legislature.maine.gov,207-287-1400,Transportation (Member)
69,St. Albans,Somerset County,Dean A. Cray,R,dean.cray@legislature.maine.gov,207-287-1400,"Agriculture, Conservation and Forestry (Member); Bills in the Second Reading (Member)"
1,St. Francis,Aroostook County,Lucien J.B. Daigle,R,Lucien.Daigle@legislature.maine.gov,207-287-1400,Health and Human Services (Member)
43,St. George,Knox County,Ann Higgins Matlack,D,Ann.Matlack@legislature.maine.gov,207-287-1400,Appropriations and Financial Affairs (Member); Taxation (Member)
1,St. John,Aroostook County,Lucien J.B. Daigle,R,Lucien.Daigle@legislature.maine.gov,207-287-1400,Health and Human Services (Member)
8,Stacyville,Penobscot County,Tracy L. Quint,R,Tracy.Quint@legislature.maine.gov,207-287-1400,Taxation (Member)
84,Standish (Part),Cumberland County,Mark Walker,R,Mark.Walker@legislature.maine.gov,207-287-1400,Housing and Economic Development (Member)
85,Standish (Part),Cumberland County,Kimberly J. Pomerleau,R,Kimberly.Pomerleau@legislature.maine.gov,207-287-1400,Elections (Member); State and Local Government (Member)
66,Starks,Somerset County,Robert W. Nutting,R,Robert.Nutting@legislature.maine.gov,207-287-1400,Criminal Justice and Public Safety (Ranking Member); Ethics (Member)
32,Stetson,Penobscot County,Steven D. Foster,R,Steven.Foster@legislature.maine.gov,207-287-1400,"Energy, Utilities and Technology (Ranking Member)"
12,Steuben,Washington County,Billy Bob Faulkingham,R,William.Faulkingham@legislature.maine.gov,207-287-1400,Joint Select Committee on Joint Rules (Ranking Member)
3,Stockholm,Aroostook County,Mark Michael Babin,R,Mark.Babin@legislature.maine.gov,207-287-1400,Judiciary (Member)
37,Stockton Springs,Waldo County,Reagan L. Paul,R,Reagan.Paul@legislature.maine.gov,207-287-1400,"Elections (Member); Energy, Utilities and Technology (Member)"
81,Stoneham,Oxford County,Peter Conley Wood,R,Peter.Wood@legislature.maine.gov,207-287-1400,Marine Resources (Member)
15,Stonington,Hancock County,Holly Rae Eaton,D,Holly.Eaton@legislature.maine.gov,207-287-1400,Marine Resources (Member); Transportation (Member)
81,Stow,Oxford County,Peter Conley Wood,R,Peter.Wood@legislature.maine.gov,207-287-1400,Marine Resources (Member)
74,Strong,Franklin County,Randall C. Hall,R,Randall.Hall@legislature.maine.gov,207-287-1400,
12,Sullivan,Hancock County,Billy Bob Faulkingham,R,William.Faulkingham@legislature.maine.gov,207-287-1400,Joint Select Committee on Joint Rules (Ranking Member)
18,Summit Townships,Penobscot County,Mathew David McIntyre,R,Mathew.McIntyre@legislature.maine.gov,207-287-1400,"Engrossed Bills (Ranking Member); Criminal Justice and Public Safety (Member); Energy, Utilities and Technology (Member)"
79,Sumner,Oxford County,Michael J. Lance,R,Michael.Lance@legislature.maine.gov,207-287-1400,Inland Fisheries and Wildlife (Member)
16,Surry,Hancock County,Nina Azella Milliken,D,Nina.Milliken@legislature.maine.gov,207-287-1400,Criminal Justice and Public Safety (Member); Elections (Member)
15,Swan's Island,Hancock County,Holly Rae Eaton,D,Holly.Eaton@legislature.maine.gov,207-287-1400,Marine Resources (Member); Transportation (Member)
38,Swanville,Waldo County,Benjamin C. Hymes,R,Benjamin.Hymes@legislature.maine.gov,207-287-1400,Veterans and Legal Affairs (Member)
81,Sweden,Oxford County,Peter Conley Wood,R,Peter.Wood@legislature.maine.gov,207-287-1400,Marine Resources (Member)
18,T10 SD TWP (Milbrodge),Penobscot County,Mathew David McIntyre,R,Mathew.McIntyre@legislature.maine.gov,207-287-1400,"Engrossed Bills (Ranking Member); Criminal Justice and Public Safety (Member); Energy, Utilities and Technology (Member)"
6,T11 R4 WELS,Aroostook County,Donald J. Ardell,R,Donald.Ardell@legislature.maine.gov,207-287-1400,Criminal Justice and Public Safety (Member); Engrossed Bills (Member)
2,T15 R6 WELS Township,Aroostook County,Roger Clarence Albert,R,Roger.Albert@legislature.maine.gov,207-287-1400,Transportation (Member)
18,T22 MD TWP,Penobscot County,Mathew David McIntyre,R,Mathew.McIntyre@legislature.maine.gov,207-287-1400,"Engrossed Bills (Ranking Member); Criminal Justice and Public Safety (Member); Energy, Utilities and Technology (Member)"
18,T3 ND TWP,Penobscot County,Mathew David McIntyre,R,Mathew.McIntyre@legislature.maine.gov,207-287-1400,"Engrossed Bills (Ranking Member); Criminal Justice and Public Safety (Member); Energy, Utilities and Technology (Member)"
6,T7 R5 WELS,Aroostook County,Donald J. Ardell,R,Donald.Ardell@legislature.maine.gov,207-287-1400,Criminal Justice and Public Safety (Member); Engrossed Bills (Member)
18,T7 SD TWP,Penobscot County,Mathew David McIntyre,R,Mathew.McIntyre@legislature.maine.gov,207-287-1400,"Engrossed Bills (Ranking Member); Criminal Justice and Public Safety (Member); Energy, Utilities and Technology (Member)"
18,T9 SD TWP,Penobscot County,Mathew David McIntyre,R,Mathew.McIntyre@legislature.maine.gov,207-287-1400,"Engrossed Bills (Ranking Member); Criminal Justice and Public Safety (Member); Energy, Utilities and Technology (Member)"
8,Talmadge,Washington County,Tracy L. Quint,R,Tracy.Quint@legislature.maine.gov,207-287-1400,Taxation (Member)
6,TD R2 WELS,Aroostook County,Donald J. Ardell,R,Donald.Ardell@legislature.maine.gov,207-287-1400,Criminal Justice and Public Safety (Member); Engrossed Bills (Member)
74,Temple,Franklin County,Randall C. Hall,R,Randall.Hall@legislature.maine.gov,207-287-1400,
73,The Forks,Somerset County,Michael Soboleski,R,Michael.Soboleski@legislature.maine.gov,207-287-1400,Environment and Natural Resources (Member); Labor (Member)
43,Thomaston,Knox County,Ann Higgins Matlack,D,Ann.Matlack@legislature.maine.gov,207-287-1400,Appropriations and Financial Affairs (Member); Taxation (Member)
38,Thorndike,Waldo County,Benjamin C. Hymes,R,Benjamin.Hymes@legislature.maine.gov,207-287-1400,Veterans and Legal Affairs (Member)
8,Topsfield,Washington County,Tracy L. Quint,R,Tracy.Quint@legislature.maine.gov,207-287-1400,Taxation (Member)
51,Topsham (Part),Sagadahoc County,Rafael Leo Macias,D,Rafael.Macias@legislature.maine.gov,207-287-1400,Labor (Member)
98,Topsham (Part),Sagadahoc County,Kilton M. Webb,D,Kilton.Webb@legislature.maine.gov,207-287-1400,"Energy, Utilities and Technology (Member)"
15,Tremont,Hancock County,Holly Rae Eaton,D,Holly.Eaton@legislature.maine.gov,207-287-1400,Marine Resources (Member); Transportation (Member)
16,Trenton,Hancock County,Nina Azella Milliken,D,Nina.Milliken@legislature.maine.gov,207-287-1400,Criminal Justice and Public Safety (Member); Elections (Member)
68,Troy,Waldo County,Amanda N. Collamore,R,Amanda.Collamore@legislature.maine.gov,207-287-1400,Ethics (Ranking Member); Housing and Economic Development (Ranking Member)
